010117 A- ----NPF- A-NPF δεκατέσσαρες. δεκατέσσαρες δεκατέσσαρες δεκατέσσαρες
010118 RA ----GSM- T-GSM Τοῦ Τοῦ τοῦ ὁ
010118 C- -------- CONJ δὲ δὲ δέ δέ
010118 N- ----GSM- N-GSM ⸀Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
010118 N- ----GSM- N-GSM χριστοῦ χριστοῦ Χριστοῦ Χριστός
010118 RA ----NSF- T-NSF ἡ ἡ ἡ ὁ
010118 N- ----NSF- N-NSF ⸀γένεσις γένεσις γένεσις γένεσις
010118 D- -------- ADV οὕτως οὕτως οὕτω(ς) οὕτω(ς)
010118 V- 3IAI-S-- V-IAI-3S ἦν. ἦν ἦν εἰμί
010118 V- -APPGSF- V-APP-GSF ⸀μνηστευθείσης μνηστευθείσης μνηστευθείσης μνηστεύομαι
010118 RA ----GSF- T-GSF τῆς τῆς τῆς ὁ
010118 N- ----GSF- N-GSF μητρὸς μητρὸς μητρός μήτηρ
010118 RP ----GSM- P-GSM αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
010118 N- ----GSF- N-GSF Μαρίας Μαρίας Μαρίας Μαρία
010118 RA ----DSM- T-DSM τῷ τῷ τῷ ὁ
010118 N- ----DSM- N-PRI Ἰωσήφ, Ἰωσήφ Ἰωσήφ Ἰωσήφ
010118 D- -------- ADV πρὶν πρὶν πρίν πρίν
010118 C- -------- PRT ἢ ἢ ἤ ἤ
010118 V- -AAN---- V-2AAN συνελθεῖν συνελθεῖν συνελθεῖν συνέρχομαι
010118 RP ----APM- P-APM αὐτοὺς αὐτοὺς αὐτούς αὐτός
010118 V- 3API-S-- V-API-3S εὑρέθη εὑρέθη εὑρέθη εὑρίσκω
010118 P- -------- PREP ἐν ἐν ἐν ἐν
010118 N- ----DSF- N-DSF γαστρὶ γαστρὶ γαστρί γαστήρ
010118 V- -PAPNSF- V-PAP-NSF ἔχουσα ἔχουσα ἔχουσα ἔχω
010118 P- -------- PREP ἐκ ἐκ ἐκ ἐκ
010118 N- ----GSN- N-GSN πνεύματος πνεύματος πνεύματος πνεῦμα
010118 A- ----GSN- A-GSN ἁγίου. ἁγίου ἁγίου ἅγιος
010119 N- ----NSM- N-PRI Ἰωσὴφ Ἰωσὴφ Ἰωσήφ Ἰωσήφ
010119 C- -------- CONJ δὲ δὲ δέ δέ
010119 RA ----NSM- T-NSM ὁ ὁ ὁ ὁ
010119 N- ----NSM- N-NSM ἀνὴρ ἀνὴρ ἀνήρ ἀνήρ
010119 RP ----GSF- P-GSF αὐτῆς, αὐτῆς αὐτῆς αὐτός
010119 A- ----NSM- A-NSM δίκαιος δίκαιος δίκαιος δίκαιος
010119 V- -PAPNSM- V-PAP-NSM ὢν ὢν ὤν εἰμί
010119 C- -------- CONJ καὶ καὶ καί καί
010119 D- -------- PRT-N μὴ μὴ μή μή
010119 V- -PAPNSM- V-PAP-NSM θέλων θέλων θέλων θέλω
010119 RP ----ASF- P-ASF αὐτὴν αὐτὴν αὐτήν αὐτός
010119 V- -AAN---- V-AAN ⸀δειγματίσαι, δειγματίσαι δειγματίσαι δειγματίζω
010119 V- 3API-S-- V-AOI-3S ἐβουλήθη ἐβουλήθη ἐβουλήθη βούλομαι
010119 D- -------- ADV λάθρᾳ λάθρᾳ λάθρᾳ λάθρᾳ
010119 V- -AAN---- V-AAN ἀπολῦσαι ἀπολῦσαι ἀπολῦσαι ἀπολύω
010119 RP ----ASF- P-ASF αὐτήν. αὐτήν αὐτήν αὐτός
010120 RD ----APN- D-APN ταῦτα ταῦτα ταῦτα οὗτος
